framework,scenario,metric_name,median,mean,min,max,std_dev,total_runs,discarded_runs
Lit,pagination-cycle,page_transition_1_next_js,376.4000000000233,361.9800000000279,309.5999999999767,395.60000000009313,30.61518577441455,5,
Lit,pagination-cycle,page_transition_2_next,372,386.4,358,434,26.941417928535238,5,
Lit,pagination-cycle,page_transition_2_next_js,400.5,418.61999999999534,397.80000000004657,458.80000000004657,24.957115217920684,5,
Lit,pagination-cycle,page_transition_3_previous,371,373.8,343,408,21.866869917754578,5,
Lit,pagination-cycle,page_transition_3_previous_js,395.5999999999767,400.8199999999721,380.5,432.5999999999767,18.251619106261593,5,
Lit,pagination-cycle,page_transition_4_previous,362,365.6,353,391,13.646977687385585,5,
Lit,pagination-cycle,page_transition_4_previous_js,388,392.95999999998605,374.5,413.5,13.275481158889201,5,
Lit,pagination-cycle,total_cycle_time,1886,1886.2,1877,1897,6.368673331236264,5,
Lit,pagination-cycle,total_cycle_js_time,1916.9000000000233,1916.5999999999767,1908.5,1923.8999999999069,6.086706827154253,5,
Lit,pagination-cycle,avg_page_transition,359.75,365.7,356.25,379.75,10.08265837961398,5,
Lit,pagination-cycle,min_page_transition,343,336.4,309,350,14.677874505527019,5,
Lit,pagination-cycle,max_page_transition,372,387.2,362,434,26.13350340080717,5,
Lit,pagination-cycle,avg_api_response_time,22.5,22.65,19.5,25.25,1.9013153341831543,5,
Lit,pagination-cycle,total_api_requests,4,4,4,4,0,5,
Lit,pagination-cycle,total_network_bytes,277755,277755,277755,277755,0,5,
Lit,pagination-cycle,memory_delta,0,0,0,0,0,5,
Lit,detail-navigation-cycle,initial_detail_load,638,636.8,629,641,4.1182520563948,5,
Lit,detail-navigation-cycle,next_navigation_time,17,15.4,8,23,5.607138307550474,5,
